Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
63833803,0,1,1,1,1,1,0
63834185,0,1,1,1,1,1,1
63834186,3,1,1,1,1,1,1
63836669,35,1,1,1,1,1,1
63836677,43,1,1,1,1,1,1
63836757,40,1,1,1,1,1,1
63836806,40,1,0,1,1,1,1
63836839,40,1,0,0,1,1,1
63836885,40,1,0,1,1,1,1
63837052,40,1,1,1,1,1,1
63837053,32,1,1,1,1,1,1
63837131,0,1,1,1,1,1,1
63837199,0,1,0,1,1,1,1
63837233,0,1,0,0,1,1,1
63837267,0,1,0,1,1,1,1
63837600,0,1,1,1,1,1,1
63837653,0,1,0,1,1,1,1
63837687,0,1,0,0,1,1,1
63837729,0,1,0,1,1,1,1
63837975,0,1,1,1,1,1,1
63838026,0,1,0,1,1,1,1
63838060,0,1,0,0,1,1,1
63838104,0,1,0,1,1,1,1
63838350,0,1,1,1,1,1,1
63838399,0,1,0,1,1,1,1
63838433,0,1,0,0,1,1,1
63838478,0,1,0,1,1,1,1
63838637,0,1,1,1,1,1,1
63838725,1,1,1,1,1,1,1
63838793,1,1,0,1,1,1,1
63838826,1,1,0,0,1,1,1
63838885,1,1,0,1,1,1,1
63839012,1,1,1,1,1,1,1
63839021,129,1,1,1,1,1,1
63839100,128,1,1,1,1,1,1
63839166,128,1,0,1,1,1,1
63839199,128,1,0,0,1,1,1
63839229,128,1,0,1,1,1,1
63839490,128,1,1,1,1,1,1
63839568,0,1,1,1,1,1,1
63839620,0,1,0,1,1,1,1
63839654,0,1,0,0,1,1,1
63839697,0,1,0,1,1,1,1
63839856,0,1,1,1,1,1,1
63839944,35,1,1,1,1,1,1
63839993,35,1,0,1,1,1,1
63840027,35,1,0,0,1,1,1
63840072,35,1,0,1,1,1,1
63840158,35,1,1,1,1,1,1
63848077,35,0,1,1,1,1,1
63848097,35,0,1,1,0,1,1
63848100,99,3,1,1,0,1,1
63848130,35,3,1,1,0,1,1
63848132,43,3,1,1,0,1,1
63848133,127,3,1,1,0,1,1
63848135,119,3,1,1,0,1,1
63854509,35,3,1,1,0,1,1
63854510,35,3,1,1,0,1,0
63854513,127,3,1,1,0,1,0
63854515,255,3,1,1,0,1,0
63854555,127,3,1,1,0,1,0
63854556,128,3,1,1,0,1,0
63854608,0,3,1,1,0,1,0
63854972,87,3,1,1,0,1,0
63855035,87,3,0,1,0,1,0
63855068,87,3,0,0,0,1,0
63855100,87,3,0,1,0,1,0
63855186,87,3,1,1,0,1,0
63855628,68,3,1,1,0,1,0
63855693,68,3,0,1,0,1,0
63855726,68,3,0,0,0,1,0
63855756,68,3,0,1,0,1,0
63855842,68,3,1,1,0,1,0
63855843,67,3,1,1,0,1,0
63855844,71,3,1,1,0,1,0
63855940,67,3,1,1,0,1,0
63856005,67,3,0,1,0,1,0
63856038,67,3,0,0,0,1,0
63856069,67,3,0,1,0,1,0
63856154,67,3,1,1,0,1,0
63856346,95,3,1,1,0,1,0
63856398,95,3,0,1,0,1,0
63856432,95,3,0,0,0,1,0
63856475,95,3,0,1,0,1,0
63856569,95,3,1,1,0,1,0
63856570,93,3,1,1,0,1,0
63856659,52,3,1,1,0,1,0
63856710,52,3,0,1,0,1,0
63856743,52,3,0,0,0,1,0
63856787,52,3,0,1,0,1,0
63856880,52,3,1,1,0,1,0
63856881,62,3,1,1,0,1,0
63856971,46,3,1,1,0,1,0
63857022,46,3,0,1,0,1,0
63857055,46,3,0,0,0,1,0
63857100,46,3,0,1,0,1,0
63857193,46,3,1,1,0,1,0
63857283,50,3,1,1,0,1,0
63857334,50,3,0,1,0,1,0
63857367,50,3,0,0,0,1,0
63857412,50,3,0,1,0,1,0
63857505,50,3,1,1,0,1,0
63857596,0,3,1,1,0,1,0
63857646,0,3,0,1,0,1,0
63857679,0,3,0,0,0,1,0
63857724,0,3,0,1,0,1,0
63857815,0,3,1,1,0,1,0
63857816,1,3,1,1,0,1,0
63857909,83,3,1,1,0,1,0
63857958,83,3,0,1,0,1,0
63857991,83,3,0,0,0,1,0
63858037,83,3,0,1,0,1,0
63858127,83,3,1,1,0,1,0
63858129,87,3,1,1,0,1,0
63858315,84,3,1,1,0,1,0
63858371,84,3,0,1,0,1,0
63858405,84,3,0,0,0,1,0
63858443,84,3,0,1,0,1,0
63858541,84,3,1,1,0,1,0
63858543,117,3,1,1,0,1,0
63858627,49,3,1,1,0,1,0
63858683,49,3,0,1,0,1,0
63858717,49,3,0,0,0,1,0
63858756,49,3,0,1,0,1,0
63858939,49,3,1,1,0,1,0
63858995,49,3,0,1,0,1,0
