Time[20ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
25499734,0,1,1,1,1,1,0
25501431,0,1,1,1,1,1,1
25501466,33,1,1,1,1,1,1
25501491,33,1,0,1,1,1,1
25501504,33,1,0,0,1,1,1
25501517,33,1,0,1,1,1,1
25501609,33,1,1,1,1,1,1
25501641,0,1,1,1,1,1,1
25501665,0,1,0,1,1,1,1
25501678,0,1,0,0,1,1,1
25501692,0,1,0,1,1,1,1
25501778,0,1,1,1,1,1,1
25501806,0,1,0,1,1,1,1
25501819,0,1,0,0,1,1,1
25501842,0,1,0,1,1,1,1
25501916,0,1,1,1,1,1,1
25501939,0,1,0,1,1,1,1
25501952,0,1,0,0,1,1,1
25501967,0,1,0,1,1,1,1
25502053,0,1,1,1,1,1,1
25502080,0,1,0,1,1,1,1
25502093,0,1,0,0,1,1,1
25502105,0,1,0,1,1,1,1
25502190,0,1,1,1,1,1,1
25502213,0,1,0,1,1,1,1
25502226,0,1,0,0,1,1,1
25502242,0,1,0,1,1,1,1
25502415,0,1,1,1,1,1,1
25502435,0,1,0,1,1,1,1
25502448,0,1,0,0,1,1,1
25502467,0,1,0,1,1,1,1
25502518,0,1,1,1,1,1,1
25502553,2,1,1,1,1,1,1
25502576,2,1,0,1,1,1,1
25502590,2,1,0,0,1,1,1
25502604,2,1,0,1,1,1,1
25502659,2,1,1,1,1,1,1
25502690,0,1,1,1,1,1,1
25502717,0,1,0,1,1,1,1
25502731,0,1,0,0,1,1,1
25502742,0,1,0,1,1,1,1
25502775,0,1,1,1,1,1,1
25522653,0,0,1,1,1,1,1
25522661,0,0,1,1,0,1,1
25522662,96,3,1,1,0,1,1
25522671,0,3,1,1,0,1,1
25522672,16,3,1,1,0,1,1
25522673,12,3,1,1,0,1,1
25522674,58,3,1,1,0,1,1
25522675,32,3,1,1,0,1,1
25522676,0,3,1,1,0,1,1
25522677,1,3,1,1,0,1,1
25525688,0,3,1,1,0,1,1
25525689,127,3,1,1,0,1,0
25525691,255,3,1,1,0,1,0
25525707,127,3,1,1,0,1,0
25525708,121,3,1,1,0,1,0
25525729,32,3,1,1,0,1,0
25525861,33,3,1,1,0,1,0
25525883,33,3,0,1,0,1,0
25525897,33,3,0,0,0,1,0
25525912,33,3,0,1,0,1,0
25525951,33,3,1,1,0,1,0
25525952,35,3,1,1,0,1,0
25526498,2,3,1,1,0,1,0
25526521,2,3,0,1,0,1,0
25526534,2,3,0,0,0,1,0
25526549,2,3,0,1,0,1,0
25526589,2,3,1,1,0,1,0
25526623,88,3,1,1,0,1,0
25526646,88,3,0,1,0,1,0
25526659,88,3,0,0,0,1,0
25526674,88,3,0,1,0,1,0
25526714,88,3,1,1,0,1,0
25526748,0,3,1,1,0,1,0
25526770,0,3,0,1,0,1,0
25526784,0,3,0,0,0,1,0
25526799,0,3,0,1,0,1,0
25526838,0,3,1,1,0,1,0
25526873,125,3,1,1,0,1,0
25526895,125,3,0,1,0,1,0
25526909,125,3,0,0,0,1,0
25526924,125,3,0,1,0,1,0
25526964,125,3,1,1,0,1,0
25526998,42,3,1,1,0,1,0
25527020,42,3,0,1,0,1,0
25527033,42,3,0,0,0,1,0
25527049,42,3,0,1,0,1,0
25527088,42,3,1,1,0,1,0
25527089,226,3,1,1,0,1,0
25527160,194,3,1,1,0,1,0
25527185,194,3,0,1,0,1,0
25527199,194,3,0,0,0,1,0
25527212,194,3,0,1,0,1,0
25527245,194,3,1,1,0,1,0
25527246,250,3,1,1,0,1,0
25527285,248,3,1,1,0,1,0
25527310,248,3,0,1,0,1,0
25527324,248,3,0,0,0,1,0
25527337,248,3,0,1,0,1,0
25527379,248,3,1,1,0,1,0
25527410,52,3,1,1,0,1,0
25527435,52,3,0,1,0,1,0
25527448,52,3,0,0,0,1,0
25527462,52,3,0,1,0,1,0
25527503,52,3,1,1,0,1,0
25527504,37,3,1,1,0,1,0
25527535,1,3,1,1,0,1,0
25527560,1,3,0,1,0,1,0
25527573,1,3,0,0,0,1,0
25527587,1,3,0,1,0,1,0
25527628,1,3,1,1,0,1,0
25527660,0,3,1,1,0,1,0
25527684,0,3,0,1,0,1,0
25527698,0,3,0,0,0,1,0
25527712,0,3,0,1,0,1,0
25527752,0,3,1,1,0,1,0
25527785,12,3,1,1,0,1,0
25527809,12,3,0,1,0,1,0
25527823,12,3,0,0,0,1,0
25527837,12,3,0,1,0,1,0
25527877,12,3,1,1,0,1,0
25527878,173,3,1,1,0,1,0
25527948,161,3,1,1,0,1,0
25527975,161,3,0,1,0,1,0
25527988,161,3,0,0,0,1,0
