Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
89696616,0,1,1,1,1,1,0
89700856,0,1,1,1,1,1,1
89700857,2,1,1,1,1,1,1
89700942,34,1,1,1,1,1,1
89700978,34,1,0,1,1,1,1
89701012,34,1,0,0,1,1,1
89701037,34,1,0,1,1,1,1
89701208,34,1,1,1,1,1,1
89701209,32,1,1,1,1,1,1
89701285,0,1,1,1,1,1,1
89701322,0,1,0,1,1,1,1
89701356,0,1,0,0,1,1,1
89701381,0,1,0,1,1,1,1
89701629,0,1,1,1,1,1,1
89701665,0,1,0,1,1,1,1
89701699,0,1,0,0,1,1,1
89701724,0,1,0,1,1,1,1
89702066,0,1,1,1,1,1,1
89702103,0,1,0,1,1,1,1
89702137,0,1,0,0,1,1,1
89702162,0,1,0,1,1,1,1
89702410,0,1,1,1,1,1,1
89702446,0,1,0,1,1,1,1
89702480,0,1,0,0,1,1,1
89702506,0,1,0,1,1,1,1
89702754,0,1,1,1,1,1,1
89702790,0,1,0,1,1,1,1
89702824,0,1,0,0,1,1,1
89702849,0,1,0,1,1,1,1
89703222,0,1,1,1,1,1,1
89703258,0,1,0,1,1,1,1
89703293,0,1,0,0,1,1,1
89703318,0,1,0,1,1,1,1
89703575,0,1,1,1,1,1,1
89703660,2,1,1,1,1,1,1
89703696,2,1,0,1,1,1,1
89703730,2,1,0,0,1,1,1
89703755,2,1,0,1,1,1,1
89703927,2,1,1,1,1,1,1
89704003,0,1,1,1,1,1,1
89704040,0,1,0,1,1,1,1
89704074,0,1,0,0,1,1,1
89704099,0,1,0,1,1,1,1
89706939,0,1,1,1,1,1,1
89706940,0,0,1,1,0,1,1
89738805,0,0,1,1,1,1,1
89745410,0,2,1,1,1,1,1
89745495,33,2,1,1,1,1,1
89745528,33,2,0,1,1,1,1
89745562,33,2,0,0,1,1,1
89745590,33,2,0,1,1,1,1
89745722,33,2,1,1,1,1,1
89745730,35,2,1,1,1,1,1
89745731,34,2,1,1,1,1,1
89745807,2,2,1,1,1,1,1
89745840,2,2,0,1,1,1,1
89745874,2,2,0,0,1,1,1
89745903,2,2,0,1,1,1,1
89746035,2,2,1,1,1,1,1
89746043,90,2,1,1,1,1,1
89746120,88,2,1,1,1,1,1
89746153,88,2,0,1,1,1,1
89746187,88,2,0,0,1,1,1
89746215,88,2,0,1,1,1,1
89746355,88,2,1,1,1,1,1
89746356,80,2,1,1,1,1,1
89746432,0,2,1,1,1,1,1
89746465,0,2,0,1,1,1,1
89746499,0,2,0,0,1,1,1
89746528,0,2,0,1,1,1,1
89746753,0,2,1,1,1,1,1
89746754,9,2,1,1,1,1,1
89746838,125,2,1,1,1,1,1
89746871,125,2,0,1,1,1,1
89746905,125,2,0,0,1,1,1
89746934,125,2,0,1,1,1,1
89747066,125,2,1,1,1,1,1
89747074,127,2,1,1,1,1,1
89747075,122,2,1,1,1,1,1
89747151,42,2,1,1,1,1,1
89747184,42,2,0,1,1,1,1
89747218,42,2,0,0,1,1,1
89747246,42,2,0,1,1,1,1
89747378,42,2,1,1,1,1,1
89747387,234,2,1,1,1,1,1
89747463,194,2,1,1,1,1,1
89747496,194,2,0,1,1,1,1
89747530,194,2,0,0,1,1,1
89747559,194,2,0,1,1,1,1
89747691,194,2,1,1,1,1,1
89747699,250,2,1,1,1,1,1
89747776,248,2,1,1,1,1,1
89747808,248,2,0,1,1,1,1
89747843,248,2,0,0,1,1,1
89747871,248,2,0,1,1,1,1
89748003,248,2,1,1,1,1,1
89748012,252,2,1,1,1,1,1
89748088,52,2,1,1,1,1,1
89748121,52,2,0,1,1,1,1
89748155,52,2,0,0,1,1,1
89748183,52,2,0,1,1,1,1
89748315,52,2,1,1,1,1,1
89748324,53,2,1,1,1,1,1
89748325,1,2,1,1,1,1,1
89748326,1,2,1,0,1,1,1
89748401,1,2,1,1,1,1,1
89748433,1,2,0,1,1,1,1
89748468,1,2,0,0,1,1,1
89748496,1,2,0,1,1,1,1
89748730,1,2,1,1,1,1,1
89748807,0,2,1,1,1,1,1
89748839,0,2,0,1,1,1,1
89748874,0,2,0,0,1,1,1
89748902,0,2,0,1,1,1,1
89749034,0,2,1,1,1,1,1
89749119,12,2,1,1,1,1,1
89749152,12,2,0,1,1,1,1
89749186,12,2,0,0,1,1,1
89749215,12,2,0,1,1,1,1
89749346,12,2,1,1,1,1,1
89749347,13,2,1,1,1,1,1
89749355,173,2,1,1,1,1,1
89749432,161,2,1,1,1,1,1
89749464,161,2,0,1,1,1,1
89749498,161,2,0,0,1,1,1
89749527,161,2,0,1,1,1,1
