Time[20ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
699403278,119,2,1,1,1,1,1
699403309,103,2,1,1,1,1,1
699403317,103,2,0,1,1,1,1
699403330,103,2,0,0,1,1,1
699403347,103,2,0,1,1,1,1
699403399,103,2,1,1,1,1,1
699403434,111,2,1,1,1,1,1
699403442,111,2,0,1,1,1,1
699403455,111,2,0,0,1,1,1
699403472,111,2,0,1,1,1,1
699403528,111,2,1,1,1,1,1
699403529,0,2,1,0,1,1,1
699403559,0,2,1,1,1,1,1
699403567,0,2,0,1,1,1,1
699403580,0,2,0,0,1,1,1
699403597,0,2,0,1,1,1,1
699403649,0,2,1,1,1,1,1
699403650,8,2,1,1,1,1,1
699403684,72,2,1,1,1,1,1
699403692,72,2,0,1,1,1,1
699403705,72,2,0,0,1,1,1
699403722,72,2,0,1,1,1,1
699403774,72,2,1,1,1,1,1
699403775,75,2,1,1,1,1,1
699403809,79,2,1,1,1,1,1
699403817,79,2,0,1,1,1,1
699403830,79,2,0,0,1,1,1
699403847,79,2,0,1,1,1,1
699403903,79,2,1,1,1,1,1
699403934,77,2,1,1,1,1,1
699403942,77,2,0,1,1,1,1
699403955,77,2,0,0,1,1,1
699403972,77,2,0,1,1,1,1
699404065,77,2,1,1,1,1,1
699404096,69,2,1,1,1,1,1
699404104,69,2,0,1,1,1,1
699404118,69,2,0,0,1,1,1
699404134,69,2,0,1,1,1,1
699404187,69,2,1,1,1,1,1
699404190,125,2,1,1,1,1,1
699404221,61,2,1,1,1,1,1
699404229,61,2,0,1,1,1,1
699404243,61,2,0,0,1,1,1
699404259,61,2,0,1,1,1,1
699404312,61,2,1,1,1,1,1
699404315,63,2,1,1,1,1,1
699404346,47,2,1,1,1,1,1
699404354,47,2,0,1,1,1,1
699404368,47,2,0,0,1,1,1
699404384,47,2,0,1,1,1,1
699404440,47,2,1,1,1,1,1
699404441,0,2,1,1,1,1,1
699404442,0,2,1,0,1,1,1
699404471,0,2,1,1,1,1,1
699404479,0,2,0,1,1,1,1
699404493,0,2,0,0,1,1,1
699404509,0,2,0,1,1,1,1
699404562,0,2,1,1,1,1,1
699404596,76,2,1,1,1,1,1
699404604,76,2,0,1,1,1,1
699404618,76,2,0,0,1,1,1
699404634,76,2,0,1,1,1,1
699404687,76,2,1,1,1,1,1
699404721,79,2,1,1,1,1,1
699404729,79,2,0,1,1,1,1
699404743,79,2,0,0,1,1,1
699404759,79,2,0,1,1,1,1
699404852,79,2,1,1,1,1,1
699404883,71,2,1,1,1,1,1
699404891,71,2,0,1,1,1,1
699404905,71,2,0,0,1,1,1
699404921,71,2,0,1,1,1,1
699404974,71,2,1,1,1,1,1
699404977,79,2,1,1,1,1,1
699405008,78,2,1,1,1,1,1
699405016,78,2,0,1,1,1,1
699405030,78,2,0,0,1,1,1
699405046,78,2,0,1,1,1,1
699405099,78,2,1,1,1,1,1
699405102,79,2,1,1,1,1,1
699405103,67,2,1,1,1,1,1
699405133,65,2,1,1,1,1,1
699405141,65,2,0,1,1,1,1
699405155,65,2,0,0,1,1,1
699405171,65,2,0,1,1,1,1
699405224,65,2,1,1,1,1,1
699405258,77,2,1,1,1,1,1
699405266,77,2,0,1,1,1,1
699405280,77,2,0,0,1,1,1
699405296,77,2,0,1,1,1,1
699405352,77,2,1,1,1,1,1
699405383,69,2,1,1,1,1,1
699405391,69,2,0,1,1,1,1
699405405,69,2,0,0,1,1,1
699405421,69,2,0,1,1,1,1
699405512,69,2,1,1,1,1,1
699405515,125,2,1,1,1,1,1
699405546,61,2,1,1,1,1,1
699405554,61,2,0,1,1,1,1
699405567,61,2,0,0,1,1,1
699405584,61,2,0,1,1,1,1
699405637,61,2,1,1,1,1,1
699405640,127,2,1,1,1,1,1
699405671,119,2,1,1,1,1,1
699405679,119,2,0,1,1,1,1
699405692,119,2,0,0,1,1,1
699405709,119,2,0,1,1,1,1
699405765,119,2,1,1,1,1,1
699405796,101,2,1,1,1,1,1
699405804,101,2,0,1,1,1,1
699405817,101,2,0,0,1,1,1
699405834,101,2,0,1,1,1,1
699405886,101,2,1,1,1,1,1
699405921,103,2,1,1,1,1,1
699405929,103,2,0,1,1,1,1
699405942,103,2,0,0,1,1,1
699405959,103,2,0,1,1,1,1
699406015,103,2,1,1,1,1,1
699406046,97,2,1,1,1,1,1
699406054,97,2,0,1,1,1,1
699406067,97,2,0,0,1,1,1
699406084,97,2,0,1,1,1,1
699406140,97,2,1,1,1,1,1
699406171,0,2,1,1,1,1,1
699406178,0,2,0,1,1,1,1
699406192,0,2,0,0,1,1,1
699406209,0,2,0,1,1,1,1
699406299,0,2,1,1,1,1,1
699406333,80,2,1,1,1,1,1
699406341,80,2,0,1,1,1,1
699406355,80,2,0,0,1,1,1
699406371,80,2,0,1,1,1,1
699406424,80,2,1,1,1,1,1
699406427,81,2,1,1,1,1,1
699406458,65,2,1,1,1,1,1
699406466,65,2,0,1,1,1,1
699406480,65,2,0,0,1,1,1
699406496,65,2,0,1,1,1,1
699406549,65,2,1,1,1,1,1
699406552,85,2,1,1,1,1,1
699406583,84,2,1,1,1,1,1
699406591,84,2,0,1,1,1,1
699406605,84,2,0,0,1,1,1
699406621,84,2,0,1,1,1,1
699406674,84,2,1,1,1,1,1
699406677,92,2,1,1,1,1,1
699406708,72,2,1,1,1,1,1
699406716,72,2,0,1,1,1,1
699406729,72,2,0,0,1,1,1
699406746,72,2,0,1,1,1,1
699406799,72,2,1,1,1,1,1
699406802,125,2,1,1,1,1,1
699406833,61,2,1,1,1,1,1
699406841,61,2,0,1,1,1,1
699406854,61,2,0,0,1,1,1
699406871,61,2,0,1,1,1,1
699406924,61,2,1,1,1,1,1
699406927,63,2,1,1,1,1,1
699406958,58,2,1,1,1,1,1
699406966,58,2,0,1,1,1,1
699406979,58,2,0,0,1,1,1
699406996,58,2,0,1,1,1,1
699407086,58,2,1,1,1,1,1
699407090,63,2,1,1,1,1,1
699407120,47,2,1,1,1,1,1
699407128,47,2,0,1,1,1,1
699407142,47,2,0,0,1,1,1
699407159,47,2,0,1,1,1,1
699407211,47,2,1,1,1,1,1
699407214,111,2,1,1,1,1,1
699407215,106,2,1,1,1,1,1
699407216,98,2,1,0,1,1,1
699407245,98,2,1,1,1,1,1
699407253,98,2,0,1,1,1,1
699407267,98,2,0,0,1,1,1
699407283,98,2,0,1,1,1,1
699407336,98,2,1,1,1,1,1
699407340,107,2,1,1,1,1,1
699407370,105,2,1,1,1,1,1
699407378,105,2,0,1,1,1,1
699407392,105,2,0,0,1,1,1
699407408,105,2,0,1,1,1,1
699407461,105,2,1,1,1,1,1
699407464,111,2,1,1,1,1,1
699407495,110,2,1,1,1,1,1
699407503,110,2,0,1,1,1,1
699407517,110,2,0,0,1,1,1
699407533,110,2,0,1,1,1,1
699407586,110,2,1,1,1,1,1
699407589,126,2,1,1,1,1,1
699407590,122,2,1,1,1,1,1
699407620,58,2,1,1,1,1,1
699407628,58,2,0,1,1,1,1
699407642,58,2,0,0,1,1,1
699407658,58,2,0,1,1,1,1
699407749,58,2,1,1,1,1,1
699407752,63,2,1,1,1,1,1
699407783,47,2,1,1,1,1,1
699407791,47,2,0,1,1,1,1
699407804,47,2,0,0,1,1,1
699407821,47,2,0,1,1,1,1
699407874,47,2,1,1,1,1,1
699407877,127,2,1,1,1,1,1
699407908,117,2,1,1,1,1,1
699407915,117,2,0,1,1,1,1
699407929,117,2,0,0,1,1,1
699407946,117,2,0,1,1,1,1
699407999,117,2,1,1,1,1,1
699408002,119,2,1,1,1,1,1
699408033,115,2,1,1,1,1,1
699408040,115,2,0,1,1,1,1
699408054,115,2,0,0,1,1,1
699408071,115,2,0,1,1,1,1
699408127,115,2,1,1,1,1,1
699408158,114,2,1,1,1,1,1
699408165,114,2,0,1,1,1,1
699408179,114,2,0,0,1,1,1
699408196,114,2,0,1,1,1,1
699408248,114,2,1,1,1,1,1
699408249,115,2,1,1,1,1,1
699408252,127,2,1,1,1,1,1
699408283,47,2,1,1,1,1,1
699408290,47,2,0,1,1,1,1
699408304,47,2,0,0,1,1,1
699408321,47,2,0,1,1,1,1
699408374,47,2,1,1,1,1,1
699408377,111,2,1,1,1,1,1
699408378,98,2,1,0,1,1,1
699408408,98,2,1,1,1,1,1
699408415,98,2,0,1,1,1,1
699408429,98,2,0,0,1,1,1
699408446,98,2,0,1,1,1,1
699408536,98,2,1,1,1,1,1
699408539,107,2,1,1,1,1,1
699408570,105,2,1,1,1,1,1
699408578,105,2,0,1,1,1,1
699408591,105,2,0,0,1,1,1
699408608,105,2,0,1,1,1,1
699408661,105,2,1,1,1,1,1
699408664,111,2,1,1,1,1,1
699408695,110,2,1,1,1,1,1
699408703,110,2,0,1,1,1,1
699408716,110,2,0,0,1,1,1
699408733,110,2,0,1,1,1,1
699408786,110,2,1,1,1,1,1
699408789,126,2,1,1,1,1,1
699408820,58,2,1,1,1,1,1
699408828,58,2,0,1,1,1,1
699408841,58,2,0,0,1,1,1
699408858,58,2,0,1,1,1,1
699408911,58,2,1,1,1,1,1
699408914,63,2,1,1,1,1,1
699408945,47,2,1,1,1,1,1
699408953,47,2,0,1,1,1,1
699408966,47,2,0,0,1,1,1
699408983,47,2,0,1,1,1,1
699409036,47,2,1,1,1,1,1
699409039,111,2,1,1,1,1,1
699409070,101,2,1,1,1,1,1
699409078,101,2,0,1,1,1,1
699409091,101,2,0,0,1,1,1
699409108,101,2,0,1,1,1,1
699409161,101,2,1,1,1,1,1
699409164,117,2,1,1,1,1,1
699409195,116,2,1,1,1,1,1
699409203,116,2,0,1,1,1,1
699409216,116,2,0,0,1,1,1
699409233,116,2,0,1,1,1,1
699409323,116,2,1,1,1,1,1
699409327,119,2,1,1,1,1,1
699409357,99,2,1,1,1,1,1
699409365,99,2,0,1,1,1,1
699409379,99,2,0,0,1,1,1
699409396,99,2,0,1,1,1,1
699409448,99,2,1,1,1,1,1
699409451,123,2,1,1,1,1,1
699409452,122,2,1,1,1,1,1
699409482,58,2,1,1,1,1,1
699409490,58,2,0,1,1,1,1
699409504,58,2,0,0,1,1,1
699409521,58,2,0,1,1,1,1
699409573,58,2,1,1,1,1,1
699409577,63,2,1,1,1,1,1
699409607,47,2,1,1,1,1,1
699409615,47,2,0,1,1,1,1
