Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
219862315,186,3,1,1,0,1,0
219862351,186,3,0,1,0,1,0
219862354,17,3,0,0,0,1,0
219862360,17,3,0,1,0,1,0
219862395,17,3,0,0,0,1,0
219862441,17,3,0,1,0,1,0
219862627,17,3,1,1,0,1,0
219862663,17,3,0,1,0,1,0
219862664,12,3,0,1,0,1,0
219862673,14,3,0,1,0,1,0
219862707,14,3,0,0,0,1,0
219862753,14,3,0,1,0,1,0
219863033,14,3,1,1,0,1,0
219863069,14,3,0,1,0,1,0
219863070,0,3,0,0,0,1,0
219863079,32,3,0,1,0,1,0
219863113,32,3,0,0,0,1,0
219863160,32,3,0,1,0,1,0
219863346,32,3,1,1,0,1,0
219863381,32,3,0,1,0,1,0
219863382,0,3,0,1,0,1,0
219863391,30,3,0,1,0,1,0
219863426,30,3,0,0,0,1,0
219863472,30,3,0,1,0,1,0
219863658,30,3,1,1,0,1,0
219863694,30,3,0,1,0,1,0
219863695,184,3,0,0,0,1,0
219863704,248,3,0,1,0,1,0
219863738,248,3,0,0,0,1,0
219863784,248,3,0,1,0,1,0
219863970,248,3,1,1,0,1,0
219864006,248,3,0,1,0,1,0
219864007,144,3,0,1,0,1,0
219864009,145,3,0,0,0,1,0
219864016,145,3,0,1,0,1,0
219864051,145,3,0,0,0,1,0
219864097,145,3,0,1,0,1,0
219864283,145,3,1,1,0,1,0
219864319,145,3,0,1,0,1,0
219864329,246,3,0,1,0,1,0
219864363,246,3,0,0,0,1,0
219864409,246,3,0,1,0,1,0
219864595,246,3,1,1,0,1,0
219864631,246,3,0,1,0,1,0
219864632,144,3,0,0,0,1,0
219864635,145,3,0,0,0,1,0
219864641,145,3,0,1,0,1,0
219864675,145,3,0,0,0,1,0
219864722,145,3,0,1,0,1,0
219865001,145,3,1,1,0,1,0
219865037,145,3,0,1,0,1,0
219865038,144,3,0,1,0,1,0
219865047,244,3,0,1,0,1,0
219865081,244,3,0,0,0,1,0
219865128,244,3,0,1,0,1,0
219865314,244,3,1,1,0,1,0
219865350,244,3,0,1,0,1,0
219865351,133,3,0,0,0,1,0
219865360,141,3,0,1,0,1,0
219865394,141,3,0,0,0,1,0
219865440,141,3,0,1,0,1,0
219865626,141,3,1,1,0,1,0
219865662,141,3,0,1,0,1,0
219865663,4,3,0,1,0,1,0
219865664,68,3,0,0,0,1,0
219865672,68,3,0,1,0,1,0
219865706,68,3,0,0,0,1,0
219865753,68,3,0,1,0,1,0
219865939,68,3,1,1,0,1,0
219865975,68,3,0,1,0,1,0
219865984,238,3,0,1,0,1,0
219866019,238,3,0,0,0,1,0
219866065,238,3,0,1,0,1,0
219866251,238,3,1,1,0,1,0
219866287,238,3,0,1,0,1,0
219866291,2,3,0,0,0,1,0
219866297,2,3,0,1,0,1,0
219866331,2,3,0,0,0,1,0
219866378,2,3,0,1,0,1,0
219866657,2,3,1,1,0,1,0
219866693,2,3,0,1,0,1,0
219866694,0,3,0,1,0,1,0
219866703,52,3,0,1,0,1,0
219866737,52,3,0,0,0,1,0
219866784,52,3,0,1,0,1,0
219866970,52,3,1,1,0,1,0
219867005,52,3,0,1,0,1,0
219867006,4,3,0,1,0,1,0
219867007,14,3,0,0,0,1,0
219867015,14,3,0,1,0,1,0
219867050,14,3,0,0,0,1,0
219867096,14,3,0,1,0,1,0
219867282,14,3,1,1,0,1,0
219867318,14,3,0,1,0,1,0
219867319,1,3,0,0,0,1,0
219867328,1,3,0,1,0,1,0
219867362,1,3,0,0,0,1,0
219867409,1,3,0,1,0,1,0
219867595,1,3,1,1,0,1,0
219867631,1,3,0,1,0,1,0
219867640,151,3,0,1,0,1,0
219867675,151,3,0,0,0,1,0
219867721,151,3,0,1,0,1,0
219867907,151,3,1,1,0,1,0
219867943,151,3,0,1,0,1,0
219867953,52,3,0,1,0,1,0
219867987,52,3,0,0,0,1,0
219868034,52,3,0,1,0,1,0
219868220,52,3,1,1,0,1,0
219868255,52,3,0,1,0,1,0
219868258,0,3,0,0,0,1,0
219868259,0,3,0,1,0,1,0
219868265,8,3,0,1,0,1,0
219868299,8,3,0,0,0,1,0
219868346,8,3,0,1,0,1,0
219868626,8,3,1,1,0,1,0
219868661,8,3,0,1,0,1,0
219868662,0,3,0,1,0,1,0
219868671,1,3,0,1,0,1,0
219868705,1,3,0,0,0,1,0
219868752,1,3,0,1,0,1,0
219868938,1,3,1,1,0,1,0
219868974,1,3,0,1,0,1,0
219868984,144,3,0,1,0,1,0
219869018,144,3,0,0,0,1,0
219869065,144,3,0,1,0,1,0
219869251,144,3,1,1,0,1,0
219869287,144,3,0,1,0,1,0
219869296,223,3,0,1,0,1,0
219869330,223,3,0,0,0,1,0
219869377,223,3,0,1,0,1,0
219869563,223,3,1,1,0,1,0
219869599,223,3,0,1,0,1,0
219869600,76,3,0,0,0,1,0
219869608,108,3,0,1,0,1,0
219869643,108,3,0,0,0,1,0
219869689,108,3,0,1,0,1,0
219869875,108,3,1,1,0,1,0
219869911,108,3,0,1,0,1,0
219869912,33,3,0,0,0,1,0
219869921,33,3,0,1,0,1,0
219869955,33,3,0,0,0,1,0
219870002,33,3,0,1,0,1,0
219870188,33,3,1,1,0,1,0
219870223,33,3,0,1,0,1,0
219870224,0,3,0,1,0,1,0
219870225,10,3,0,1,0,1,0
219870226,10,3,0,0,0,1,0
219870233,10,3,0,1,0,1,0
219870267,10,3,0,0,0,1,0
219870314,10,3,0,1,0,1,0
219870594,10,3,1,1,0,1,0
219870630,10,3,0,1,0,1,0
219870639,254,3,0,1,0,1,0
219870673,254,3,0,0,0,1,0
219870721,254,3,0,1,0,1,0
219870907,254,3,1,1,0,1,0
219870942,254,3,0,1,0,1,0
219870943,40,3,0,0,0,1,0
219870944,40,3,0,1,0,1,0
219870945,40,3,0,0,0,1,0
219870952,40,3,0,1,0,1,0
219870986,40,3,0,0,0,1,0
219871033,40,3,0,1,0,1,0
219871219,40,3,1,1,0,1,0
219871254,40,3,0,1,0,1,0
219871255,32,3,0,1,0,1,0
219871264,161,3,0,1,0,1,0
219871298,161,3,0,0,0,1,0
219871345,161,3,0,1,0,1,0
219871531,161,3,1,1,0,1,0
219871567,161,3,0,1,0,1,0
219871577,171,3,0,1,0,1,0
219871611,171,3,0,0,0,1,0
219871658,171,3,0,1,0,1,0
219871844,171,3,1,1,0,1,0
219871879,171,3,0,1,0,1,0
219871889,161,3,0,1,0,1,0
219871923,161,3,0,0,0,1,0
219871970,161,3,0,1,0,1,0
219872250,161,3,1,1,0,1,0
219872285,161,3,0,1,0,1,0
219872286,160,3,0,1,0,1,0
219872295,188,3,0,1,0,1,0
219872329,188,3,0,0,0,1,0
219872376,188,3,0,1,0,1,0
219872562,188,3,1,1,0,1,0
219872598,188,3,0,1,0,1,0
219872599,223,3,0,0,0,1,0
219872608,223,3,0,1,0,1,0
219872642,223,3,0,0,0,1,0
219872689,223,3,0,1,0,1,0
219872875,223,3,1,1,0,1,0
219872910,223,3,0,1,0,1,0
219872911,73,3,0,0,0,1,0
219872912,73,3,0,1,0,1,0
219872920,105,3,0,1,0,1,0
219872954,105,3,0,0,0,1,0
219873001,105,3,0,1,0,1,0
219873187,105,3,1,1,0,1,0
219873222,105,3,0,1,0,1,0
